m1,m2,N_idx,N,S1,S2,loss_S1_vs_N,lp_N_given_m1,lp_S1_given_m1,lp_N_given_m2,lp_S1_given_m2,loss_S2_vs_N,lp_S2_given_m2,lp_S2_given_m1,loss_rank1,loss_rank2,worst_rank_of_two,p_N_given_m1_decile,p_N_given_m2_decile,selected_for_human_testing
roberta,bert,96,I have the box sofa pieces in blue,Participants of the mast reconstruct work in photos,She decorated its seventeen sofa lounges in yellow,-31.85334014892578,-63.821815490722656,-63.78145217895508,-64.1939697265625,-96.04730987548828,-21.491256713867188,-63.838539123535156,-85.3131103515625,23.0,17.0,23.0,1,1,True
roberta,bert,141,So I got the video from someone else,Edit I got the link from someone here,So I inherited the basics from everyone else,-15.319694519042967,-45.30839157104492,-45.27374267578125,-45.15727233886719,-60.476966857910156,-9.044441223144533,-44.82672500610352,-54.35283279418945,52.0,63.0,63.0,8,8,True
roberta,bert,245,Your fundamental analysis of the situation is terrible,Such sad truth of the situation is deplorable,His morals appreciation for the masses was profound,-17.027145385742188,-57.7094841003418,-57.44683456420898,-52.27874755859375,-69.30589294433594,-16.431682586669922,-52.00829315185547,-74.14116668701172,43.0,36.0,43.0,3,4,True
roberta,bert,1203,I actually watched my cousin beat the game,I recently helped a coworker circumvent this issue,I had helped my uncles behead those bastards,-27.30517578125,-55.95527648925781,-55.281410217285156,-55.33757019042969,-82.64274597167969,-22.39073181152344,-53.88191223144531,-78.34600830078125,32.0,15.0,32.0,4,3,True
roberta,bert,1284,My head almost hit the seat in front,The laptop nearly reaches the desk in front,My back nearly hit the wall in protest,-11.940052032470705,-54.12342071533203,-54.09343719482422,-47.07957458496094,-59.01962661743164,-8.724723815917969,-46.68989562988281,-62.84814453125,56.0,69.0,69.0,5,7,True
roberta,bert,1797,Make sure to get a running start though,Make sure you add your script start method,We kids will do a good turnaround together,-16.252918243408207,-50.3563117980957,-50.27326965332031,-51.90131759643555,-68.15423583984375,-17.079891204833984,-51.23273468017578,-67.43620300292969,48.0,33.0,48.0,6,5,True
roberta,bert,2162,Open war thunder directly through the steam library,Investigators are disproportionate aiming at the shovel shovels,Tribes create dances plays using the tigers melodic,-55.3626708984375,-77.417236328125,-77.22075653076172,-73.46488952636719,-128.82756042480472,-35.4525146484375,-73.41970825195312,-112.86973571777344,6.0,3.0,6.0,0,0,True
roberta,bert,2686,You will be spared in the coming weeks,This will be reconstructing in the coming weeks,You will be brides for our celestial princes,-16.915084838867188,-47.73439407348633,-47.00220489501953,-49.807884216308594,-66.72296905517578,-21.174449920654297,-49.43553924560547,-68.90884399414061,44.0,19.0,44.0,7,6,True
roberta,bert,2841,The article was written over a year ago,This post was published exactly one week ago,The song was written over a year prior,-8.529571533203125,-39.71889114379883,-39.61121368408203,-41.97748565673828,-50.507057189941406,-9.025882720947266,-41.77836990356445,-48.7447738647461,67.0,64.0,67.0,9,9,True
roberta,bert,3110,They usually announce hardware at a separate event,Privacy researchers discuss vulnerabilities at a press briefing,They generally invoke charms in the originals village,-48.27639770507813,-62.19396209716797,-61.942726135253906,-60.978111267089844,-109.25450897216795,-20.073631286621094,-60.90864562988281,-82.26759338378906,10.0,23.0,23.0,2,2,True
