m1,m2,N_idx,N,S1,S2,loss_S1_vs_N,lp_N_given_m1,lp_S1_given_m1,lp_N_given_m2,lp_S1_given_m2,loss_S2_vs_N,lp_S2_given_m2,lp_S2_given_m1,loss_rank1,loss_rank2,worst_rank_of_two,p_N_given_m1_decile,p_N_given_m2_decile,selected_for_human_testing
roberta,bert,6,Believe all women unless it effects you personally,Debate all vaccinations unless it effects you personally,Believe in aloof unless it owns itself backward,-16.329345703125,-64.68424987792969,-64.57814788818361,-68.39559936523439,-84.72494506835938,-22.24598693847656,-68.07449340820311,-86.93024444580078,47.0,16.0,47.0,1,0,False
roberta,bert,96,I have the box sofa pieces in blue,Participants of the mast reconstruct work in photos,She decorated its seventeen sofa lounges in yellow,-31.85334014892578,-63.821815490722656,-63.78145217895508,-64.1939697265625,-96.04730987548828,-21.491256713867188,-63.838539123535156,-85.3131103515625,23.0,17.0,23.0,1,1,True
roberta,bert,112,A lot of people would do the deed,A lot of people would do the unthinkable,A lot of people could do the feat,-10.28145980834961,-46.71270370483398,-45.33346176147461,-42.98561477661133,-53.26707458496094,-2.8877029418945312,-42.55358123779297,-49.60040664672852,59.0,88.0,88.0,7,9,False
roberta,bert,141,So I got the video from someone else,Edit I got the link from someone here,So I inherited the basics from everyone else,-15.319694519042967,-45.30839157104492,-45.27374267578125,-45.15727233886719,-60.476966857910156,-9.044441223144533,-44.82672500610352,-54.35283279418945,52.0,63.0,63.0,8,8,True
roberta,bert,199,I think the allegations should be taken seriously,We believe the incident should be taken seriously,I think her work should be taken seriously,-2.349700927734375,-41.92170715332031,-41.54962921142578,-43.92909240722656,-46.27879333496094,-2.360389709472656,-43.67620086669922,-44.28209686279297,87.0,91.0,91.0,9,8,False
roberta,bert,236,Make sure you invest in an optic first,Opinion how to invest in fiber optic optics,Be sure to withdraw into the palaces kitchens,-21.68097686767578,-57.33007431030274,-57.14223861694336,-58.78730773925781,-80.4682846069336,-20.342559814453125,-58.5557861328125,-77.6726303100586,36.0,22.0,36.0,3,3,False
roberta,bert,245,Your fundamental analysis of the situation is terrible,Such sad truth of the situation is deplorable,His morals appreciation for the masses was profound,-17.027145385742188,-57.7094841003418,-57.44683456420898,-52.27874755859375,-69.30589294433594,-16.431682586669922,-52.00829315185547,-74.14116668701172,43.0,36.0,43.0,3,4,True
roberta,bert,268,I cried more at Peggy and Steve dancing,Plus lot more stuff below regarding Steve misunderstood,He wondered vaguely of Beatrice and Roland Dunne,-38.247657775878906,-74.19741821289062,-73.08516693115234,-65.55935668945311,-103.80701446533205,-12.192039489746096,-65.09309387207031,-86.3894271850586,20.0,49.0,49.0,0,0,False
roberta,bert,281,I think it is a body chemistry thing,I believe there is a body shame epidemic,I guess it was a mutual bonding term,-15.55887222290039,-47.81804656982422,-47.55678176879883,-45.672340393066406,-61.2312126159668,-9.37188720703125,-45.41997909545898,-57.18994140625,50.0,61.0,61.0,7,8,False
roberta,bert,282,Explain how she saved more than his head,Falls times she washes sides of her head,Odd how she held more than mortal body,-14.53409194946289,-63.60281753540039,-62.82863235473633,-59.1215705871582,-73.6556625366211,-15.649398803710938,-58.24134826660156,-79.25222778320312,53.0,38.0,53.0,1,2,False
