I always thought that song was about sex,I always thought that song was about them,-2.1101112365722656,-30.409178256988525,-30.19416093826294,-47.83549118041992,-49.94560241699219
My brother and his wife are both nurses,My brother and his wife are both artists,-0.5245475769042969,-27.152729034423828,-26.603449821472168,-45.35041046142578,-45.87495803833008
Definitely not like any of the other ones,Well not like some of the other ones,-0.8526458740234375,-29.885857105255127,-29.704222679138184,-48.72156524658203,-49.57421112060547
Most of his competitors have seen him play,None of my dates have had him play,-11.522659301757812,-38.795859813690186,-38.24197959899902,-52.451656341552734,-63.97431564331055
This happens to me every time I order,It happens to me every time I putt,-5.384056091308594,-27.063840866088867,-26.728447914123535,-48.20079803466797,-53.58485412597656
His father paid for his place at Harvard,His father leaves for a year at college,-0.5236358642578125,-32.049864768981934,-32.00504016876221,-54.470245361328125,-54.99388122558594
And the pistol fired when I was ready,Thankfully the drive engaged when I was ready,-12.154548645019531,-39.10063552856445,-38.54732799530029,-59.94728088378906,-72.1018295288086
I also like to watch the sec people,I also wanted to use the spat amidships,-18.922523498535156,-40.802502155303955,-40.78451156616211,-56.359718322753906,-75.28224182128906
I have a strange desire to intubate someone,I developed a tremendous need to lettered school,-16.024288177490234,-41.76162815093994,-41.65973925590515,-57.262020111083984,-73.28630828857422
There are really almost no player being evaluated,There are spec is no player being penal,-13.414169311523438,-46.4801812171936,-46.19599199295044,-62.68324279785156,-76.097412109375
