3,Standards of quality are enforced on all posts,Standards of conduct meticulously analysed on charter charters,-27.30565643310547,-15.570498704910278,-15.22327563030558,-38.049644470214844,-65.35530090332031
5,I definitely have a lot to think about,I incidentally devise a loophole to speculate about,-45.571136474609375,-6.122355077706743,-6.058724985748995,-21.6422119140625,-67.21334838867188
14,I would love to visit my parents again,Atheists fanatics presume ideologies cultivate deserving unconditional fervor,-105.03008079528809,-7.751539992474136,-7.680911815041327,-24.611093521118164,-129.64117431640625
13,I thought those were wallets for some reason,We adore psilocybin calories misplaced as vitamins imaginable,-72.26024627685547,-16.363753164187074,-16.099163009425865,-39.17559051513672,-111.43583679199219
8,All she had to do was stop accelerating,Whatever greatness strived to amass was plunder exerting,-55.96721267700195,-18.0874786668428,-17.24820050597191,-32.9968376159668,-88.96405029296875
1,Cut off the breaks for a clean cut,Brezhnev affords rhetorical reassurance methamphetamine a blank stare,-79.39868927001953,-21.93402373790741,-21.721887972133118,-39.34767150878906,-118.7463607788086
0,It seems like that studio just gets it,Tyrannosaurus alleges extremist Brezhnev bleaching glorified psilocybin inhalation,-142.1056365966797,-27.44639658369124,-23.016188565801713,-38.4373779296875,-180.5430145263672
11,The casino is still closed on weekends though,The retailer reopens shoppers unattended on Saturdays nationwide,-35.64657974243164,-14.518768731504679,-14.14409426387283,-35.299320220947266,-70.9458999633789
9,Because he is projecting his own fears here,Anyhow what wields navigating whomever burgeoning bureaucratic intermediary,-98.85848617553711,-20.639522502198815,-19.806973835773533,-39.4785041809082,-138.3369903564453
15,The whole thing is coming to a head,The whole thing was coming to a head,-0.07833099365234375,-2.656098881154321,-2.367996064480394,-23.74273681640625,-23.821067810058594
7,Might be good to compliment the dry hop,Lethal disrespect ludicrous psilocybin Brezhnev inconsistencies antibiotic unaccompanied,-148.53596878051758,-37.94330496713519,-37.652204484409594,-51.0418815612793,-199.57785034179688
12,Alien come down and take me to spaceship,Brezhnev entrust psilocybin with carnivorous puppies which conspire,-91.24456024169922,-30.478655397892,-29.113224742934108,-48.050071716308594,-139.2946319580078
6,Believe all women unless it effects you personally,Renaissance Acapulco Hispaniola anarchists intruders discredit christians therein,-75.67978286743164,-42.181105852127075,-41.95876516774297,-55.57926559448242,-131.25904846191406
