sentence_pair,sentence1,sentence2,trial_type,subject,subject_selected_sentence,subjects_majority_vote,cluster,subjects_majority_vote_2clusters,subject_chose_majority_2clusters,agreement_2clusters,include_as_gpt_item,gpt_choice,gpt_engaged_subjects_agreement,probability_sentence1,probability_sentence2
A message has been sent to your account_They are barely able to handle Delhi properly,A message has been sent to your account,They are barely able to handle Delhi properly,randomly_sampled_natural,2,1.0,1.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-27.383871644735336,-45.0370679628104
Afterward my arm was ready to fall off_Half my heart was about to break open,Afterward my arm was ready to fall off,Half my heart was about to break open,synthetic_vs_synthetic,2,2.0,1.0,engaged_struggling,2.0,1,1.0,True,1.0,0.0,-35.273303866386414,-39.3008691072464
Afterward the Middle eastern country embargo the I_Suddenly a Middle East country bought the building,Afterward the Middle eastern country embargo the I,Suddenly a Middle East country bought the building,natural_vs_synthetic,2,2.0,2.0,engaged_struggling,2.0,1,1.0,True,1.0,0.0,-56.3829784989357,-47.76180684566498
All I could scarcely heaped with more limited_Separately this can be mit in two manners,All I could scarcely heaped with more limited,Separately this can be mit in two manners,synthetic_vs_synthetic,2,2.0,2.0,engaged_struggling,2.0,1,1.0,True,2.0,1.0,-73.49501729011536,-43.793375223875046
All the other rare resources are a blessing_So that part is out of your hands,All the other rare resources are a blessing,So that part is out of your hands,randomly_sampled_natural,2,2.0,2.0,engaged_struggling,2.0,1,1.0,True,2.0,1.0,-42.81054747104645,-29.57151472568512
Also added had a storyboard that same night_Also still had a beard at same time,Also added had a storyboard that same night,Also still had a beard at same time,natural_vs_synthetic,2,2.0,2.0,engaged_struggling,2.0,1,1.0,True,1.0,0.0,-47.51497840881348,-46.330100893974304
And sends them off to Stop the steal_Plan ahead now to save yourself headaches later,And sends them off to Stop the steal,Plan ahead now to save yourself headaches later,natural_controversial,2,2.0,2.0,engaged_struggling,2.0,1,1.0,True,2.0,1.0,-58.637201964855194,-42.02629363536835
Anybody can behead a rattles an an antelope_You can reach his stories on an instant,Anybody can behead a rattles an an antelope,You can reach his stories on an instant,synthetic_vs_synthetic,2,2.0,2.0,engaged_struggling,2.0,1,1.0,True,1.0,0.0,-53.43804758787155,-52.44580698013306
Because it would be easier to act that_Now that will be interesting to check out,Because it would be easier to act that,Now that will be interesting to check out,synthetic_vs_synthetic,2,2.0,2.0,engaged_struggling,2.0,1,1.0,True,2.0,1.0,-41.97941371798515,-26.816528469324112
Blue skies and warm but not too hot_not but too Blue skies warm hot and,Blue skies and warm but not too hot,not but too Blue skies warm hot and,natural_vs_shuffled,2,1.0,1.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-38.161630392074585,-71.95965337753296
Canyon looked really really bad in this game_You think your some kind of bright spark,Canyon looked really really bad in this game,You think your some kind of bright spark,randomly_sampled_natural,2,2.0,1.0,engaged_struggling,2.0,1,1.0,True,2.0,1.0,-45.794109523296356,-43.93016685731709
Commenting to find out later what this is_Memphis always seems to play the Jazz tough,Commenting to find out later what this is,Memphis always seems to play the Jazz tough,natural_controversial,2,1.0,1.0,engaged_struggling,1.0,1,1.0,True,2.0,0.0,-49.602869272232056,-47.77389881014824
Depends on the hotel on the French side_on French Depends the on side hotel the,Depends on the hotel on the French side,on French Depends the on side hotel the,natural_vs_shuffled,2,1.0,1.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-42.882099106907845,-80.39527702331543
Equality of opportunity rarely equals equity in outcomes_Probably changes were you are on the continent,Equality of opportunity rarely equals equity in outcomes,Probably changes were you are on the continent,natural_controversial,2,1.0,1.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-44.56503936648369,-54.81802749633789
Finally getting those electrician cabs was hard work_Those applying these bawling face up again enough,Finally getting those electrician cabs was hard work,Those applying these bawling face up again enough,synthetic_vs_synthetic,2,1.0,1.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-51.86089152097702,-79.08850717544556
First name that popped to mind was Kyle_I believe faculty is still working from home,First name that popped to mind was Kyle,I believe faculty is still working from home,natural_controversial,2,1.0,2.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-42.11549845337868,-46.92045199871063
Gets us in the playoffs next off year_Gets us to the playoffs every following year,Gets us in the playoffs next off year,Gets us to the playoffs every following year,natural_vs_synthetic,2,1.0,2.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-48.44889014959335,-44.61961883306503
Glad the community has warmed up to it_community Glad to the it warmed has up,Glad the community has warmed up to it,community Glad to the it warmed has up,natural_vs_shuffled,2,1.0,1.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-36.01710829138756,-74.07787680625916
Guys see them as less of a threat_Trump see you as more of a threat,Guys see them as less of a threat,Trump see you as more of a threat,natural_vs_synthetic,2,1.0,1.0,engaged_struggling,1.0,1,1.0,True,2.0,0.0,-34.60588636994362,-39.036567121744156
Had her invite me over after the club_Please post in the Share Your Stuff thread,Had her invite me over after the club,Please post in the Share Your Stuff thread,natural_controversial,2,1.0,2.0,engaged_struggling,1.0,1,1.0,True,2.0,0.0,-48.39582979679108,-44.2975287437439
Having crit done solves most of your problems_Having used amp solves none of these problems,Having crit done solves most of your problems,Having used amp solves none of these problems,natural_vs_synthetic,2,2.0,2.0,engaged_struggling,2.0,1,1.0,True,2.0,1.0,-42.46791732311249,-46.934227891266346
Heart Burns was the final record to add_the was record Burns Heart final add to,Heart Burns was the final record to add,the was record Burns Heart final add to,natural_vs_shuffled,2,1.0,1.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-55.84047865867615,-81.54113936424255
I actually thought I was reading that wrong_Save that skin and crisp it up good,I actually thought I was reading that wrong,Save that skin and crisp it up good,randomly_sampled_natural,2,2.0,1.0,engaged_struggling,2.0,1,1.0,True,1.0,0.0,-31.46918433904648,-46.385974913835526
I agree that unsolicited advice is generally unhelpful_The Education is the problem not The Art,I agree that unsolicited advice is generally unhelpful,The Education is the problem not The Art,natural_controversial,2,1.0,1.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-40.75375228212215,-53.837910294532776
I bet that driver honestly has no idea_Just get that and call it a day,I bet that driver honestly has no idea,Just get that and call it a day,randomly_sampled_natural,2,2.0,2.0,engaged_struggling,2.0,1,1.0,True,2.0,1.0,-42.922819674015045,-31.898679584264755
I got it for my brother for Christmas_got brother I Christmas for my it for,I got it for my brother for Christmas,got brother I Christmas for my it for,natural_vs_shuffled,2,1.0,1.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-28.25271999835968,-68.22182035446167
I guess the buy rating news travel slow_Sorry I have a prejudice towards you now,I guess the buy rating news travel slow,Sorry I have a prejudice towards you now,randomly_sampled_natural,2,2.0,2.0,engaged_struggling,2.0,1,1.0,True,2.0,1.0,-63.20325493812561,-41.73510670661926
I have capsules I leave at room temp_That Oakland jail was offered as homeless housing,I have capsules I leave at room temp,That Oakland jail was offered as homeless housing,randomly_sampled_natural,2,1.0,2.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-48.838701009750366,-56.72266602516174
I immediately thought it was Land as well_I initially thought it looked unprofessional as well,I immediately thought it was Land as well,I initially thought it looked unprofessional as well,natural_vs_synthetic,2,2.0,2.0,engaged_struggling,2.0,1,1.0,True,2.0,1.0,-39.59497660398483,-37.54022705554962
I linked to the article that explains that_to that article that the linked I explains,I linked to the article that explains that,to that article that the linked I explains,natural_vs_shuffled,2,1.0,1.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-35.58184337615967,-55.67293882369995
I stopped getting kidney infections all the time_stopped kidney I getting the all time infections,I stopped getting kidney infections all the time,stopped kidney I getting the all time infections,natural_vs_shuffled,2,1.0,1.0,engaged_struggling,1.0,1,1.0,True,1.0,1.0,-40.175803668797016,-69.67848646640778
