Zone Type,Trial Number,Zone Name,Response,Reaction Time,counterbalance-o1ql,sentence1,sentence2,sentence1_type,sentence2_type,sentence1_model,sentence2_model,sentence1_bert_prob,sentence2_bert_prob,sentence1_bert_has_a_mouth_prob,sentence2_bert_has_a_mouth_prob,sentence1_electra_prob,sentence2_electra_prob,sentence1_electra_has_a_mouth_prob,sentence2_electra_has_a_mouth_prob,sentence1_roberta_prob,sentence2_roberta_prob,sentence1_roberta_has_a_mouth_prob,sentence2_roberta_has_a_mouth_prob,subject
response_button_text,1,resp4,Somewhat confident,14639.69999998808,set 1,Neighbours unsatisfactory gastrointestinal acknowledgment misunderstood indistinguishable schizophrenic disproportionately,I understand what life was about just that,S2,S1,bert_has_a_mouth,bert,-362.3968811035156,-54.61736297607422,-4.913071523187738,-56.070353507995605,-200.55845642089844,-36.27371597290039,-36.565014206818226,-33.85205745697021,-142.35362243652344,-59.59344100952149,-93.67694517138443,-54.529780864715576,0
response_button_text,2,resp1,Very confident,23084.20000001788,set 1,I found so many in things and called,Khrushchev schizophrenic so far disproportionately goldfish fished alone,S1,S2,bert,bert_has_a_mouth,-55.89053344726562,-162.30943298339844,-55.13984280824661,-22.83665660842803,-43.49318313598633,-122.49903106689452,-43.51915854215622,-42.769298116701975,-62.16015625,-117.7053451538086,-50.99733433127403,-63.458156272536144,0
response_button_text,3,resp6,Very confident,10495.79999998212,set 1,lose that are screams they Almost to going,Almost screams that they are going to lose,C2,C1,all,all,-85.82693481445312,-54.60960388183594,-78.75373363494873,-24.00999653635517,-69.00955963134766,-37.75152969360352,-81.10960721969604,-24.62673968053423,-86.77354431152344,-56.738746643066406,-81.10527992248534,-26.30304543512466,0
response_button_text,4,resp5,Confident,18642.20000001788,set 1,Stravinsky cupboard nanny contented burglar babysitting unsupervised bathtub,In most other high priority packages were affected,S2,S1,roberta_has_a_mouth,roberta,-194.85223388671875,-66.98735046386719,-23.57077662071243,-64.64759421348572,-138.82559204101562,-52.74976348876953,-47.54101729672402,-51.07933473587036,-164.70449829101562,-61.59902954101562,-21.858438374460093,-71.13219738006592,0
response_button_text,5,resp5,Confident,14116.599999994041,set 1,It is also known to place the breakdown,This accomplishes intrinsically rewarding conceiving conferring nurturing youngsters,S1,S2,electra,electra_has_a_mouth,-53.20234298706055,-137.28829956054688,-36.36834795027971,-20.279053312231554,-37.68600082397461,-107.76414489746094,-34.94737374735996,-16.024353593587875,-58.58417510986328,-107.73313903808594,-43.50126919150353,-65.36767223477364,0
response_button_text,6,resp5,Confident,5234.5999999940395,set 1,Take a boss grow or walk from struggle,Khrushchev inconsequential milligrams Chesapeake Carolinas thirties engraving rehabilitating,S1,S2,roberta,roberta_has_a_mouth,-77.61894226074219,-200.36334228515625,-65.48463344573975,-45.40363021844041,-59.77891159057617,-155.59835815429688,-58.081141710281365,-59.939940158219535,-72.8797378540039,-209.9422149658203,-70.98263835906981,-30.96288022038061,0
response_button_text,7,resp4,Somewhat confident,7516.199999988077,set 1,By now I have to got things more,Born insecure they like to cultivate psilocybin afloat,S1,S2,electra,electra_has_a_mouth,-59.35592651367188,-116.8083267211914,-50.66346257925034,-24.49431436800114,-40.93441009521485,-94.96041870117188,-45.72241371870041,-22.484924367628988,-59.37736129760742,-99.08582305908205,-48.93637543916702,-73.88967675124513,0
response_button_text,8,resp3,Somewhat confident,10402.79999998212,set 1,Doe means type of the in or season,Neighbours unequivocally Tyrannosaurus of disproportionately schizophrenic acknowledgment misinterpreted,S1,S2,bert,bert_has_a_mouth,-60.02489852905274,-300.2976379394531,-62.44147515296936,-13.509468578744533,-60.68889236450195,-197.2021484375,-65.74159690737724,-30.538389701733536,-68.25819396972656,-151.86221313476562,-58.62766420841217,-124.29417710647249,0
response_button_text,9,resp2,Confident,26606.699999988086,set 1,Leaves me presuming schoolgirls inexplicably excite freestyle lacrosse,Be this review you will have your choice,S2,S1,roberta_has_a_mouth,roberta,-117.03065490722656,-56.25958633422852,-44.76565588753869,-35.25818658806384,-103.60466766357422,-41.31464767456055,-38.889611632090244,-38.896493971347816,-136.47261047363278,-51.167564392089844,-12.275570262223482,-49.060375849716365,0
response_button_text,10,resp1,Very confident,12024.5,set 1,Because they are acting like a controlled opposition,Because a they acting like controlled are opposition,C1,C2,all,all,-57.82487487792969,-75.27897644042969,-34.66776902973652,-64.33871459960939,-40.41599655151367,-66.61146545410156,-24.964424431324005,-69.34153699874878,-54.66763305664063,-79.42557525634766,-21.445451110601425,-63.605096340179436,0
response_button_text,11,resp3,Somewhat confident,22434.099999994043,set 1,Siegfried watchers must deduce deduced elliptical gymnastics anyhow,But I should have stopped that in basically,S2,S1,roberta_has_a_mouth,roberta,-143.6145782470703,-57.46128463745117,-32.58359041961376,-46.70958728343248,-101.97384643554688,-41.87311935424805,-52.299979048897505,-40.937403801828616,-143.0830078125,-53.83859252929688,-14.952432110905647,-42.763952791690826,0
response_button_text,12,resp2,Confident,53580.70000001788,set 1,The action is also available but after only,Parkway northbound is structurally cluttered nonstop clockwise anyhow,S1,S2,roberta,roberta_has_a_mouth,-57.81524276733398,-113.98168182373048,-44.451230973005295,-47.81093245673401,-45.574180603027344,-89.27935028076172,-39.284732222557075,-56.87474975734949,-52.37316513061523,-123.16200256347656,-46.40360069274902,-11.346452388330365,0
response_button_text,13,resp6,Very confident,7238.099999994038,set 1,We seem to adore cherish those affections dearly,I want to give up my own first,S2,S1,electra_has_a_mouth,electra,-82.58818054199219,-46.39541244506836,-22.52488852757961,-29.484409869997762,-58.51058959960938,-29.19794845581055,-12.652508975821547,-24.696991346776485,-78.95996856689453,-50.36584091186523,-44.10655300039798,-30.15211404277943,0
response_button_text,14,resp3,Somewhat confident,11881.300000011921,set 1,Heights it still is practiced throughout the country,Charts totalling readership was produced simulating search judgements,S1,S2,roberta,roberta_has_a_mouth,-62.29523849487305,-105.42286682128906,-41.57649296149612,-44.8245162380772,-52.44474792480469,-101.57208251953124,-43.178435176610954,-66.96006186306478,-56.79888916015625,-124.12022399902344,-54.08937688358129,-16.52878090925515,0
