,subject,sentence_pair,Trial Number,rating,Response,Reaction Time,counterbalance-o1ql,sentence1,sentence2,sentence1_type,sentence2_type,sentence1_model,sentence2_model,sentence1_bert_prob,sentence2_bert_prob,sentence1_bert_has_a_mouth_prob,sentence2_bert_has_a_mouth_prob,sentence1_electra_prob,sentence2_electra_prob,sentence1_electra_has_a_mouth_prob,sentence2_electra_has_a_mouth_prob,sentence1_roberta_prob,sentence2_roberta_prob,sentence1_roberta_has_a_mouth_prob,sentence2_roberta_has_a_mouth_prob,sentence1_location,trial_type,sentence1_model_targeted_to_accept,sentence1_model_targeted_to_reject,sentence2_model_targeted_to_accept,sentence2_model_targeted_to_reject,subject_group,binarized_choice_probability_NC_LB,binarized_choice_probability_NC_UB,majority_vote_NC_LB,majority_vote_NC_UB,mean_rating_NC_LB,mean_rating_NC_UB
0,0,A use dates from our in the project_Remembrance mathematically benefitted octopus eyeballs cylindrical adults chocolates,56,5.0,Confident,4496.0999999940395,set 1,A use dates from our in the project,Remembrance mathematically benefitted octopus eyeballs cylindrical adults chocolates,S,S,roberta,roberta_has_a_mouth,-69.02577209472656,-135.259521484375,-69.9358344078064,-80.04525789361105,-54.66045761108398,-118.6020736694336,-61.41690254211426,-102.69679337739944,-61.11968994140625,-168.94606018066406,-73.30431699752808,-27.45515365790925,left,synthetic_vs_synthetic,roberta,roberta_has_a_mouth,roberta_has_a_mouth,roberta,1,0.06896551724137931,0.1,0.0,0.0,2.413793103448276,2.5
1,0,Acapulco crafting ingenuity cultivating despicable deserving thrift dealerships_Several of it had been up in Europe,88,6.0,Very confident,4434.900000005961,set 1,Acapulco crafting ingenuity cultivating despicable deserving thrift dealerships,Several of it had been up in Europe,S,S,electra_has_a_mouth,electra,-179.49026489257812,-56.40875625610352,-14.452862347767224,-42.04464980959892,-141.474853515625,-42.1096305847168,-20.41317169245667,-47.40848457068205,-129.36752319335938,-58.09918212890625,-69.81781004974619,-45.79211063683033,left,synthetic_vs_synthetic,electra_has_a_mouth,electra,electra,electra_has_a_mouth,1,0.9655172413793104,0.9666666666666667,1.0,1.0,4.758620689655173,4.8
2,0,Acapulco galactic collide was unsustainable merchandising Khrushchev impractical_You can make all the place more too,97,6.0,Very confident,3094.699999988079,set 1,Acapulco galactic collide was unsustainable merchandising Khrushchev impractical,You can make all the place more too,S,S,electra_has_a_mouth,electra,-198.45162963867188,-55.10920715332031,-26.30921828790997,-41.86006152629852,-161.99977111816406,-40.41097259521485,-25.9093717644173,-44.30692905187607,-144.8861846923828,-56.7396125793457,-64.54305656329961,-44.712944388389595,right,synthetic_vs_synthetic,electra_has_a_mouth,electra,electra,electra_has_a_mouth,1,0.9655172413793104,0.9666666666666667,1.0,1.0,5.0344827586206895,5.066666666666666
3,0,Add in the right pieces for better results_Throw in some red wine for forgiving palate,95,5.0,Confident,3403.4000000059614,set 1,Add in the right pieces for better results,Throw in some red wine for forgiving palate,S,S,electra,electra_has_a_mouth,-50.36405563354492,-88.70337677001953,-20.09793458133936,-5.6777306760659485,-36.73462677001953,-54.83417510986328,-18.446402511559427,-11.002232410013676,-52.23826599121094,-67.11198425292969,-18.248693816596642,-20.74268659204245,left,synthetic_vs_synthetic,electra,electra_has_a_mouth,electra_has_a_mouth,electra,1,0.27586206896551724,0.3,0.0,0.0,2.5517241379310347,2.6333333333333333
4,0,All note this can be fixed in enlarge_Worcestershire reproduces flawed intravenous standards ascertained structurally inconclusive,85,3.0,Somewhat confident,6495.600000023842,set 1,All note this can be fixed in enlarge,Worcestershire reproduces flawed intravenous standards ascertained structurally inconclusive,S,S,roberta,roberta_has_a_mouth,-70.89283752441406,-147.1803741455078,-49.568237319588654,-39.07835570945464,-54.201072692871094,-114.70819854736328,-50.11879536230117,-50.09525647299597,-58.66572952270508,-149.57644653320312,-69.69329626997933,-29.483479249708576,right,synthetic_vs_synthetic,roberta,roberta_has_a_mouth,roberta_has_a_mouth,roberta,1,0.1724137931034483,0.16666666666666666,0.0,0.0,2.4482758620689653,2.466666666666667
5,0,All we wanted to do was not right_Whatever greatness strived to amass was plunder exerting,74,3.0,Somewhat confident,5553.300000011923,set 1,All we wanted to do was not right,Whatever greatness strived to amass was plunder exerting,S,S,electra,electra_has_a_mouth,-48.46887969970703,-111.4102554321289,-33.55637852550717,-21.047321486345027,-31.69280815124512,-88.69921112060547,-30.018967739306394,-17.248200505971912,-47.10520935058594,-104.00735473632812,-31.349448655499142,-45.79202959808754,right,synthetic_vs_synthetic,electra,electra_has_a_mouth,electra_has_a_mouth,electra,1,0.0,0.0,0.0,0.0,1.896551724137931,1.9333333333333333
6,0,Almost screams that they are going to lose_lose that are screams they Almost to going,3,1.0,Very confident,10495.79999998212,set 1,Almost screams that they are going to lose,lose that are screams they Almost to going,N,C,all,all,-54.60960388183594,-85.82693481445312,-24.00999653635517,-78.75373363494873,-37.75152969360352,-69.00955963134766,-24.62673968053423,-81.10960721969604,-56.738746643066406,-86.77354431152344,-26.30304543512466,-81.10527992248534,right,natural_vs_shuffled,,,,,1,0.0,0.0,0.0,0.0,1.896551724137931,1.8666666666666667
7,0,Amarillo biopsy surgeries solicited will hinder Brezhnev psilocybin_And they want people to keep it matters,81,5.0,Confident,4681.0,set 1,Amarillo biopsy surgeries solicited will hinder Brezhnev psilocybin,And they want people to keep it matters,S,S,electra_has_a_mouth,electra,-166.91842651367188,-57.310508728027344,-22.138747135216367,-48.41063904762268,-149.94590759277344,-38.50416946411133,-28.313988079782572,-39.14699733257294,-159.86651611328125,-57.16741561889648,-52.19143691505451,-49.13287228439003,right,synthetic_vs_synthetic,electra_has_a_mouth,electra,electra,electra_has_a_mouth,1,0.9310344827586207,0.9333333333333333,1.0,1.0,4.793103448275862,4.8
8,0,And diplomacy is more people to the place_Brezhnev ingenuity disembarking Acapulco methamphetamine arthropods unaccompanied Khrushchev,39,3.0,Somewhat confident,2306.0,set 1,And diplomacy is more people to the place,Brezhnev ingenuity disembarking Acapulco methamphetamine arthropods unaccompanied Khrushchev,S,S,electra,electra_has_a_mouth,-62.2647705078125,-285.63134765625,-58.702834248542786,-4.11877819071924,-47.32767868041992,-230.9702606201172,-62.81108438968658,-34.002544249029604,-63.57590866088867,-185.8443145751953,-60.05382204055786,-69.49113244420005,right,synthetic_vs_synthetic,electra,electra_has_a_mouth,electra_has_a_mouth,electra,1,0.0,0.0,0.0,0.0,2.3448275862068964,2.3666666666666667
9,0,And how long you have the rest up_Funny how organically everything thrives in steaming comfy,99,2.0,Confident,5182.900000005961,set 1,And how long you have the rest up,Funny how organically everything thrives in steaming comfy,S,S,roberta,roberta_has_a_mouth,-57.59289169311523,-92.69071197509766,-38.213038682937615,-39.044672606622036,-39.12641906738281,-77.27667999267578,-34.76605296134949,-35.64381833188236,-51.99746704101562,-108.43922424316406,-45.005568504333496,-17.31651785293434,left,synthetic_vs_synthetic,roberta,roberta_has_a_mouth,roberta_has_a_mouth,roberta,1,0.2413793103448276,0.23333333333333334,0.0,0.0,2.7241379310344827,2.7
